bar,equity,drawdown
0,10000.0,0.0
1,10000.0,0.0
2,10000.0,0.0
3,10000.0,0.0
4,10000.0,0.0
5,10000.0,0.0
6,10000.0,0.0
7,10000.0,0.0
8,10000.0,0.0
9,10000.0,0.0
10,10000.0,0.0
11,10000.0,0.0
12,10000.0,0.0
13,10000.0,0.0
14,10000.0,0.0
15,10000.0,0.0
16,10000.0,0.0
17,10000.0,0.0
18,10000.0,0.0
19,10000.0,0.0
20,10000.0,0.0
21,10000.0,0.0
22,10000.0,0.0
23,10000.0,0.0
24,10000.0,0.0
25,10000.0,0.0
26,10000.0,0.0
27,10000.0,0.0
28,10000.0,0.0
29,10000.0,0.0
30,10000.0,0.0
31,10000.0,0.0
32,10000.0,0.0
33,10000.0,0.0
34,10000.0,0.0
35,10000.0,0.0
36,10000.0,0.0
37,10000.0,0.0
38,10000.0,0.0
39,10000.0,0.0
40,10000.0,0.0
41,10000.0,0.0
42,10000.0,0.0
43,10000.0,0.0
44,10000.0,0.0
45,10000.0,0.0
46,10000.0,0.0
47,10000.0,0.0
48,10000.0,0.0
49,10000.0,0.0
50,10000.0,0.0
51,10000.0,0.0
52,10000.0,0.0
53,10000.0,0.0
54,10000.0,0.0
55,10000.0,0.0
56,10000.0,0.0
57,10000.0,0.0
58,10000.0,0.0
59,10000.0,0.0
60,10000.0,0.0
61,10000.0,0.0
62,10000.0,0.0
63,10000.0,0.0
64,10000.0,0.0
65,10000.0,0.0
66,10000.0,0.0
67,9999.64,0.0036000000000058208
68,10004.540021521136,0.0
69,9997.38223026155,0.07154543081629343
70,10002.26118525189,0.022778021421716775
71,10021.711936091966,0.0
72,10021.82833957751,0.0
73,10042.483157310045,0.0
74,10026.966898362109,0.15450619836631144
75,10026.966898362109,0.15450619836631144
76,10026.966898362109,0.15450619836631144
77,10026.966898362109,0.15450619836631144
78,10026.966898362109,0.15450619836631144
79,10026.966898362109,0.15450619836631144
80,10026.966898362109,0.15450619836631144
81,10026.966898362109,0.15450619836631144
82,10026.966898362109,0.15450619836631144
83,10026.966898362109,0.15450619836631144
84,10026.966898362109,0.15450619836631144
85,10026.966898362109,0.15450619836631144
86,10026.966898362109,0.15450619836631144
87,10026.966898362109,0.15450619836631144
88,10026.966898362109,0.15450619836631144
89,10026.966898362109,0.15450619836631144
90,10026.966898362109,0.15450619836631144
91,10026.966898362109,0.15450619836631144
92,10026.966898362109,0.15450619836631144
93,10026.966898362109,0.15450619836631144
94,10026.966898362109,0.15450619836631144
95,10026.966898362109,0.15450619836631144
96,10026.966898362109,0.15450619836631144
97,10026.966898362109,0.15450619836631144
98,10026.966898362109,0.15450619836631144
99,10026.966898362109,0.15450619836631144
100,10026.605927553768,0.1581006361431642
101,10031.04917657119,0.11385611068246766
102,10034.595159364511,0.07854629001585513
103,10043.460672832722,0.0
104,10044.821036990994,0.0
105,10039.497919477613,0.052993652089745436
106,10016.308511751753,0.28385299383872364
107,10013.553065024977,0.3112845102055084
108,10009.819615990944,0.3484524101639437
109,10010.122008920021,0.34544197396041204
110,10032.866429489904,0.11901264798113825
111,10032.5865696565,0.12179875867812491
112,10031.331474364302,0.13429370794178458
113,10000.543325866112,0.44080139369158217
114,10002.389116545957,0.42242584799447547
115,9997.970428619104,0.46641556080847674
116,9997.83772295156,0.4677366960188994
117,10011.795747968366,0.32877926745542563
118,9996.961680157787,0.4764580340153455
119,9986.74669637675,0.5781520686170559
120,9974.474577011037,0.7003256675345414
121,9974.474577011037,0.7003256675345414
122,9974.474577011037,0.7003256675345414
123,9974.474577011037,0.7003256675345414
124,9974.474577011037,0.7003256675345414
125,9974.474577011037,0.7003256675345414
126,9974.474577011037,0.7003256675345414
127,9974.474577011037,0.7003256675345414
128,9974.474577011037,0.7003256675345414
129,9974.474577011037,0.7003256675345414
130,9974.474577011037,0.7003256675345414
131,9974.474577011037,0.7003256675345414
132,9974.474577011037,0.7003256675345414
133,9974.474577011037,0.7003256675345414
134,9974.474577011037,0.7003256675345414
135,9974.474577011037,0.7003256675345414
136,9974.474577011037,0.7003256675345414
137,9974.474577011037,0.7003256675345414
138,9974.474577011037,0.7003256675345414
139,9974.474577011037,0.7003256675345414
140,9974.474577011037,0.7003256675345414
141,9974.474577011037,0.7003256675345414
142,9974.115495926264,0.7039004558105131
143,9971.300476755807,0.7319250384296617
144,9967.622203594086,0.7685436416698274
145,9957.472594592084,0.8695868455718767
146,9971.9640263187,0.7253191510728941
147,9986.236568829285,0.5832305816695618
148,9980.843999441933,0.6369156534841115
149,9980.843999441933,0.6369156534841115
150,9980.843999441933,0.6369156534841115
151,9980.843999441933,0.6369156534841115
152,9980.843999441933,0.6369156534841115
153,9980.843999441933,0.6369156534841115
154,9980.843999441933,0.6369156534841115
155,9980.843999441933,0.6369156534841115
156,9980.843999441933,0.6369156534841115
157,9980.484689057954,0.6404927245205809
158,9965.740724298312,0.7872744810630421
159,9972.870449169606,0.7162953680948908
160,9960.816079878772,0.8363011824985793
161,9969.419225306057,0.7506536095293517
162,9982.539895834443,0.6200323622212349
163,9972.163413869253,0.7233341724473932
164,9982.993482574928,0.6155167343288674
165,9987.374328897815,0.5719037490227666
166,9996.744116758713,0.478623960100763
167,10016.956175787265,0.2774052529269928
168,10014.281297444766,0.30403468049617155
169,10006.390583169277,0.3825897313669685
170,10006.390583169277,0.3825897313669685
171,10006.390583169277,0.3825897313669685
172,10006.390583169277,0.3825897313669685
173,10006.390583169277,0.3825897313669685
174,10006.390583169277,0.3825897313669685
175,10006.390583169277,0.3825897313669685
176,10006.390583169277,0.3825897313669685
177,10006.390583169277,0.3825897313669685
178,10006.390583169277,0.3825897313669685
179,10006.390583169277,0.3825897313669685
180,10006.390583169277,0.3825897313669685
181,10006.390583169277,0.3825897313669685
182,10006.390583169277,0.3825897313669685
183,10006.390583169277,0.3825897313669685
184,10006.390583169277,0.3825897313669685
185,10006.390583169277,0.3825897313669685
186,10006.390583169277,0.3825897313669685
187,10006.390583169277,0.3825897313669685
188,10006.390583169277,0.3825897313669685
189,10006.390583169277,0.3825897313669685
190,10006.390583169277,0.3825897313669685
191,10006.390583169277,0.3825897313669685
192,10006.390583169277,0.3825897313669685
193,10006.390583169277,0.3825897313669685
194,10006.390583169277,0.3825897313669685
195,10006.390583169277,0.3825897313669685
196,10006.030353108283,0.3861759581366441
197,10004.783563613648,0.39858822003801053
198,10004.744821586339,0.3989739116015183
199,10018.931798751843,0.2577371776342439
200,10015.363922091698,0.2932567418654625
201,10009.293760250901,0.35368750333391114
202,9996.885849159731,0.477212960337839
203,9984.521628219714,0.6003034653302567
204,10002.092747150638,0.425376317636766
205,10013.919548084592,0.30763603246493204
206,10008.441022135778,0.36217683442286874
207,10002.86579312911,0.41768035196823194
208,9997.283267494468,0.47325651021022763
209,9948.183247425788,0.9620658168953744
210,9954.374581609522,0.9004287388336217
211,9967.613247603153,0.7686328019535282
212,9978.799486483409,0.6572695547730945
213,9986.394311121428,0.581660197373388
214,9981.710835595446,0.6282859710804067
215,9990.71632212227,0.5386329399944244
216,9980.216782679872,0.6431598340399536
217,9976.617876818058,0.6789883057325896
218,9969.89560076974,0.7459111112615565
219,9970.290279503213,0.741981934902714
220,10001.45304575021,0.4317447874987276
