bar,equity,drawdown
0,1000.0,0.0
1,1000.0,0.0
2,1000.0,0.0
3,1000.0,0.0
4,1000.0,0.0
5,1000.0,0.0
6,1000.0,0.0
7,1000.0,0.0
8,1000.0,0.0
9,1000.0,0.0
10,1000.0,0.0
11,1000.0,0.0
12,1000.0,0.0
13,1000.0,0.0
14,1000.0,0.0
15,1000.0,0.0
16,1000.0,0.0
17,1000.0,0.0
18,1000.0,0.0
19,1000.0,0.0
20,1000.0,0.0
21,1000.0,0.0
22,1000.0,0.0
23,1000.0,0.0
24,999.784,0.021600000000000816
25,999.4101971109963,0.05898028890037495
26,999.2102560308315,0.07897439691685122
27,1001.3209383901362,0.0
28,1000.7332854762606,0.05868776846117544
29,1002.856138162184,0.0
30,1000.797614345531,0.20526611328574784
31,1001.1835875611534,0.16677871704466798
32,1003.0585372914377,0.0
33,999.8129768335192,0.32356640587322893
34,999.8405986246504,0.3208126492275018
35,994.167773271076,0.8863654203442008
36,996.080582306913,0.6956677726274347
37,996.9006042311212,0.6139156222073336
38,987.9991493921965,1.501346864551505
39,987.9991493921965,1.501346864551505
40,987.7857415759278,1.522622573628763
41,987.262620697468,1.5747751508723924
42,988.357905036743,1.4655806922685566
43,986.8261417145033,1.6182899575100402
44,985.0753215244087,1.7928381144722794
45,985.6638325126758,1.7341664650732063
46,986.8882623188204,1.6120968389623582
47,988.4232951465505,1.4590616201131015
48,986.6875843221784,1.6321034476677532
49,987.3774499806472,1.5633272364277189
50,987.4739003926131,1.5537116049984285
51,986.6172899541355,1.6391114502348572
52,986.5044920147176,1.6503568497030139
53,987.0570384425906,1.595270689989436
54,987.6962267659585,1.531546759669888
55,986.2707223721559,1.6736625326587613
56,984.6870435530863,1.8315475174519762
57,984.359053409814,1.8642465206585006
58,984.5955893489171,1.8406650515508456
59,983.3488478365614,1.964959044972434
60,982.4043466908374,2.0591211612009044
61,982.4831920038717,2.0512606714983566
62,984.2703524326504,1.873089571573869
63,986.9165982513658,1.609271885932001
64,986.7401460545384,1.6268633016138714
65,984.5751851674702,1.8426992480297475
66,985.0121196105356,1.7991390342614397
67,984.4389324075755,1.856282977675535
68,985.8486324341433,1.7157428223248445
69,985.2120467745381,1.779207279875266
70,987.0231083022522,1.5986533580069981
71,986.2318997692545,1.6775329551174782
72,986.8313930464572,1.6177664255566528
73,984.592651230636,1.840957967484651
74,986.8544219850475,1.6154705537072902
75,988.2855060260206,1.4727985173536102
76,989.2711551252032,1.3745341526591837
77,989.0574725556962,1.395837253282205
78,989.263248711437,1.3753223832032953
79,988.9982090228428,1.401745535864935
80,986.8834329836542,1.6125782999127036
81,983.6914332558043,1.9308049645766854
82,985.2075919713019,1.7796514018353065
83,984.9672454213967,1.8036127700874747
84,984.4108266962738,1.8590849787808328
85,982.790956798283,2.020578036041975
86,983.9597653628903,1.904053573993787
87,984.3334548617154,1.8667985699304956
88,982.345436934463,2.064994174009658
89,982.8376534989948,2.015922604780917
90,982.45573295394,2.053998203647366
91,982.6701231771293,2.032624553434666
92,982.3757573744841,2.0619713753499713
93,981.0519428043966,2.193949173341922
94,980.4432541955373,2.254632432217617
95,981.8169612745477,2.117680596612906
96,983.9478304166375,1.9052434294019218
97,979.6337914784376,2.335331881652091
98,978.1652886324736,2.481734388721066
99,977.7799908448308,2.520146682053738
100,978.2358817229674,2.4746966049956547
101,977.8110371770337,2.5170515155157287
102,976.7767041094334,2.620169432281914
103,977.2162548127264,2.576348390243828
104,975.2708806889785,2.770292616968722
105,975.875467158192,2.710018321228611
106,976.8885579984956,2.6090181499884344
107,978.8820593294155,2.410275877548087
108,979.7840369807825,2.3203531444439323
109,982.9066443933956,2.009044552121386
110,982.5541096963938,2.044190526548141
111,982.5541096963938,2.044190526548141
112,982.5541096963938,2.044190526548141
113,982.5541096963938,2.044190526548141
114,982.5541096963938,2.044190526548141
115,982.5541096963938,2.044190526548141
116,982.5541096963938,2.044190526548141
117,982.5541096963938,2.044190526548141
118,982.5541096963938,2.044190526548141
119,982.3418780086994,2.0653489813944033
120,981.641567996665,2.1351664432870487
121,982.2140634518408,2.0780914637228696
122,979.6921642087858,2.3295124076953844
123,980.9490593299225,2.20420614944542
124,979.0580403476703,2.3927314360511835
125,979.6143178012832,2.3372733114321553
126,979.3256373734607,2.366053329456025
127,978.8893731314146,2.40954672748085
128,979.8076196753731,2.31800206584644
129,977.264637030286,2.571524921247666
130,976.9467641996501,2.603215278172822
131,975.1355967834972,2.7837797565973417
132,976.0611464412958,2.691507010452552
133,975.4424722906042,2.753185778708912
134,979.0133872823947,2.3971831269162243
135,980.028632548307,2.2959681700450347
136,980.028632548307,2.2959681700450347
137,980.028632548307,2.2959681700450347
138,980.028632548307,2.2959681700450347
139,980.028632548307,2.2959681700450347
140,980.028632548307,2.2959681700450347
141,980.028632548307,2.2959681700450347
142,980.028632548307,2.2959681700450347
143,980.028632548307,2.2959681700450347
144,980.028632548307,2.2959681700450347
145,980.028632548307,2.2959681700450347
146,979.8169463636765,2.3170722409203095
147,982.2985201951788,2.0696715420335567
148,985.2914753148706,1.7712886452812178
149,985.2914753148706,1.7712886452812178
150,985.2914753148706,1.7712886452812178
151,985.2914753148706,1.7712886452812178
152,985.2914753148706,1.7712886452812178
153,985.2914753148706,1.7712886452812178
154,985.2914753148706,1.7712886452812178
155,985.2914753148706,1.7712886452812178
156,985.2914753148706,1.7712886452812178
157,985.0786523562026,1.7925060469338332
158,983.989766765533,1.9010625817907074
159,983.8763786792318,1.9123668159989444
160,989.5272591605899,1.3490018406489366
161,992.2053777703691,1.082006594587734
162,1000.5199166408432,0.25308798601619986
163,1000.5199166408432,0.25308798601619986
164,1000.5199166408432,0.25308798601619986
165,1000.5199166408432,0.25308798601619986
166,1000.5199166408432,0.25308798601619986
167,1000.5199166408432,0.25308798601619986
168,1000.5199166408432,0.25308798601619986
169,1000.5199166408432,0.25308798601619986
170,1000.3038043388489,0.27463331901121535
171,1005.2096069291891,0.0
172,1005.2584134504591,0.0
173,1005.2584134504591,0.0
174,1005.2584134504591,0.0
175,1005.2584134504591,0.0
176,1005.2584134504591,0.0
177,1005.2584134504591,0.0
178,1005.0412776331538,0.02160000000000483
179,1004.5117878510225,0.07427200702293638
180,1002.9062991902031,0.23398105688890578
181,993.7347797497151,1.1463354642504444
182,1000.0111247029068,0.5219840667178715
183,1005.7541978040948,0.0
184,997.1837678342164,0.852139617074491
185,999.3036179976776,0.6413674256096571
186,994.0401288626341,1.164704951471893
187,995.5735469488969,1.012240453723755
188,1001.0497666747443,0.46775157783302096
189,1001.0497666747443,0.46775157783302096
190,1001.0497666747443,0.46775157783302096
191,1001.0497666747443,0.46775157783302096
192,1001.0497666747443,0.46775157783302096
193,1001.0497666747443,0.46775157783302096
194,1001.0497666747443,0.46775157783302096
195,1001.0497666747443,0.46775157783302096
196,1001.0497666747443,0.46775157783302096
197,1000.8335399251425,0.4892505434922133
198,999.678803020407,0.6040635770601254
199,999.0618112428767,0.6654097567606333
200,999.1563406097168,0.6560109029406347
201,997.9355648297105,0.7773900413694553
202,999.2035112349104,0.6513208280399762
203,999.3978542107074,0.6319977194492984
204,1009.4546315019501,0.0
205,1011.9026073237493,0.0
206,1011.9026073237493,0.0
207,1011.9026073237493,0.0
208,1011.6840363605673,0.021600000000001632
209,1008.671232064521,0.3193365879128023
210,1009.051636647355,0.28174358438846253
211,1003.6289693190542,0.8176318496279916
212,1004.3308157743833,0.748272758125575
213,1004.9736995193731,0.6847405821694214
214,1004.2033802391339,0.7608664143062198
215,1005.2609049794128,0.6563578645085523
216,1001.7437745526166,1.003933846756305
217,1002.3771481830355,0.9413414958882704
218,1001.6619875673073,1.01201634251404
219,1000.6615235144535,1.1108859417830617
220,1001.447058978006,1.033256389505293
221,1001.1484413804812,1.0627668972718982
222,1001.3938023364092,1.038519409998705
223,1000.231666335851,1.153366035765568
224,999.3374255076963,1.2417382587129675
225,999.457252951289,1.229896462602802
226,1002.2399124747208,0.9549036418222245
227,1002.6412393096108,0.9152430231040412
228,1002.030689954162,0.9755797937606152
229,1004.5870087508074,0.7229548100770269
230,1002.7401445011476,0.9054688421877193
231,1002.7804318973868,0.9014874910233222
232,1003.9936921702775,0.7815885734684509
233,1001.932710629714,0.9852624770286278
234,1001.7339455560455,1.00490518495625
235,996.5564048506784,1.5165691205854366
236,995.4738106144835,1.6235551317252006
237,1000.5606526940018,1.1208543734998773
238,1001.1337908190461,1.0642147205435348
239,1002.5212868187326,0.9270971768546105
240,1002.1019718263456,0.968535452569311
241,1000.502202447013,1.126630645501323
242,1002.6905480153642,0.9103701523952823
243,1003.233612915245,0.8567024480183743
244,1003.0091535900672,0.8788843579722826
245,1001.6391777088094,1.0142704980358086
246,1002.8195241601754,0.897624247416116
247,1001.6565926564524,1.012549487780771
248,1001.4037490951099,1.0375364341047077
249,1001.935872495316,0.9849500096450069
250,1003.05429913284,0.8744229065987911
251,1003.7528320327468,0.805391273035333
252,1005.6104264480116,0.6218168458305565
253,1006.3437892432047,0.5493431917570011
254,1010.3724471313102,0.15121615275663944
255,1010.8993414032373,0.09914649030952138
256,1010.6809871454942,0.12072507466760912
257,1011.4016586233969,0.04950562403207011
258,1012.7088340168268,0.0
259,1011.8041613105235,0.08933196550829406
260,1013.4889225580672,0.0
261,1016.2911079322528,0.0
262,1016.6460861687705,0.0
263,1016.6460861687705,0.0
264,1016.6460861687705,0.0
265,1016.6460861687705,0.0
266,1016.426490614158,0.021600000000005525
267,1015.7834055160754,0.08485555243182874
268,1018.6980650529234,0.0
269,1022.2459160709606,0.0
270,1022.4300513196478,0.0
271,1022.4300513196478,0.0
272,1022.4300513196478,0.0
273,1022.4300513196478,0.0
274,1022.4300513196478,0.0
275,1022.4300513196478,0.0
276,1022.4300513196478,0.0
277,1022.4300513196478,0.0
278,1022.4300513196478,0.0
279,1022.4300513196478,0.0
280,1022.4300513196478,0.0
281,1022.4300513196478,0.0
282,1022.2092064285628,0.021599999999995102
283,1014.1080778489245,0.8139406172561259
284,1013.3970524899644,0.883483307051129
285,1010.9551053387837,1.1223208830817686
286,1011.4816372372557,1.070822797927449
287,1012.4414178238402,0.9769503041225421
288,1011.8542642763962,1.0343775625140752
289,1010.37002475157,1.1795453931065436
290,1008.8339612209886,1.3297819328677507
291,1005.1627486532968,1.688849290380703
292,1003.6214280955716,1.8395999999999961
293,1003.4046458671029,1.8608026463999991
294,1002.110234756631,1.987404080776968
295,1004.6932350385471,1.7347706337668602
296,1009.4582637185707,1.2687212767596558
297,1010.2056392279401,1.1956233168156258
298,1010.2056392279401,1.1956233168156258
299,1010.2056392279401,1.1956233168156258
300,1010.2056392279401,1.1956233168156258
301,1010.2056392279401,1.1956233168156258
302,1009.9874348098668,1.2169650621791943
303,1009.4616663696153,1.2683884763846902
304,1009.7466019023125,1.2405200141530257
305,1009.6102915659509,1.2538520104285318
306,1010.449573779834,1.1717650047893775
307,1010.5995151498317,1.1570998088863265
308,1010.7669821345045,1.140720499176427
309,1013.6080790023829,0.8628436053770536
310,1011.3823259386509,1.0805360588470208
311,1011.1428092047585,1.1039622808739709
312,1012.47538703692,0.9736279044106066
313,1010.3836956484075,1.1782082946106716
314,1005.6908284607186,1.6371998101311518
315,1005.7160902716669,1.6347290483498822
316,1005.8618314886759,1.6204746534579384
317,1006.3845566536813,1.569348890445518
318,1005.1836490255275,1.6868051043550947
319,1006.7149034122351,1.5370389286904413
320,1011.6948271646637,1.0499715008501684
321,1010.0217179934008,1.2136119542096373
322,1010.9991557554742,1.1180124791343609
323,1012.1903473024943,1.0015065582175648
324,995.465046448807,2.6373447098935605
325,995.4815393095804,2.6357316058233016
326,996.9017578761732,2.496825421995889
327,999.8759704356316,2.2059289879934205
328,1000.6347153328086,2.1317190314103147
329,1000.6347153328086,2.1317190314103147
330,1000.6347153328086,2.1317190314103147
331,1000.6347153328086,2.1317190314103147
332,1000.6347153328086,2.1317190314103147
333,1000.6347153328086,2.1317190314103147
334,1000.6347153328086,2.1317190314103147
335,1000.6347153328086,2.1317190314103147
336,1000.6347153328086,2.1317190314103147
337,1000.6347153328086,2.1317190314103147
338,1000.6347153328086,2.1317190314103147
339,1000.6347153328086,2.1317190314103147
340,1000.6347153328086,2.1317190314103147
341,1000.4185782342967,2.1528585800995335
342,1000.7914286045899,2.116391501514353
343,994.7352733042559,2.7087210493907428
344,997.3358352158631,2.4543699660818494
345,995.8870452055809,2.5960706142985424
346,1000.1664182860328,2.1775213869036163
347,1000.1664182860328,2.1775213869036163
348,1000.1664182860328,2.1775213869036163
349,1000.1664182860328,2.1775213869036163
350,999.9503823396831,2.1986510422840406
351,993.1089409694697,2.867786438038806
352,990.6911201413601,3.104264310044712
353,993.7545292019213,2.8046439050490597
354,991.2163251798487,3.0528960000257808
355,992.9228110590033,2.885991097636418
356,995.6366574218164,2.62056009242385
357,998.7947755876788,2.3116765495559277
358,996.724951140914,2.514118217237091
359,996.9901366357574,2.488181431194745
360,990.3901068269387,3.1337052790413593
361,987.9438081178404,3.372968464424151
362,984.6892829147777,3.691281213434424
363,987.7459090380426,3.3923242217732623
364,987.147222746217,3.450879454089917
365,987.2253845676498,3.4432347432041306
366,988.4310722386873,3.325311011455313
367,993.4816563172267,2.831332565495064
368,991.7763250232413,2.9981245422942924
369,995.1173271351233,2.6713538152827145
370,995.4979851836058,2.634123097348401
371,995.4979851836058,2.634123097348401
372,995.4979851836058,2.634123097348401
373,995.2829576188061,2.6551541267593777
374,996.4402325399627,2.5419654621986165
375,992.814758281311,2.8965593294242833
376,999.8351099631594,2.209925395612649
377,999.8972235888712,2.2038502977972474
378,1000.8243511810747,2.1131714693525145
379,1000.8243511810747,2.1131714693525145
380,1000.8243511810747,2.1131714693525145
381,1000.8243511810747,2.1131714693525145
382,1000.8243511810747,2.1131714693525145
383,1000.8243511810747,2.1131714693525145
384,1000.8243511810747,2.1131714693525145
385,1000.8243511810747,2.1131714693525145
386,1000.8243511810747,2.1131714693525145
387,1000.8243511810747,2.1131714693525145
388,1000.8243511810747,2.1131714693525145
389,1000.8243511810747,2.1131714693525145
390,1000.6081731212196,2.1343150243151343
391,1001.5364462601343,2.0435241542975118
392,994.1930818292095,2.76175073825274
393,1000.4932640760874,2.145553841580325
394,993.6240428481187,2.817406279710694
395,998.4027627795072,2.3500178334086175
396,994.6458979945338,2.717462508975848
397,982.4131864167476,3.9138975670023064
398,982.4131864167476,3.9138975670023064
399,982.4131864167476,3.9138975670023064
400,982.2009851684816,3.9346521651278388
401,981.3022487703598,4.022554158712803
402,990.9299797987708,3.0809023541727796
403,992.1046302158314,2.9660142583519904
404,992.1046302158314,2.9660142583519904
405,992.1046302158314,2.9660142583519904
406,992.1046302158314,2.9660142583519904
407,992.1046302158314,2.9660142583519904
408,991.8903356157048,2.9869735992721904
409,990.5118687878678,3.1217962041103204
410,973.8181576716933,4.7545446835420435
411,973.8181576716933,4.7545446835420435
412,973.8181576716933,4.7545446835420435
413,973.8181576716933,4.7545446835420435
414,973.8181576716933,4.7545446835420435
415,973.8181576716933,4.7545446835420435
416,973.8181576716933,4.7545446835420435
417,973.6078129496361,4.775117701890403
418,962.9779176031569,5.814787392032944
419,969.3663940201728,5.189954777931831
420,955.8687413894885,6.510108915935008
421,955.8687413894885,6.510108915935008
422,955.8687413894885,6.510108915935008
423,955.8687413894885,6.510108915935008
424,955.8687413894885,6.510108915935008
425,955.8687413894885,6.510108915935008
426,955.8687413894885,6.510108915935008
427,955.8687413894885,6.510108915935008
428,955.8687413894885,6.510108915935008
429,955.6622737413484,6.530302732409165
430,955.4558060932083,6.550496548883322
431,955.4558060932083,6.550496548883322
432,955.4558060932083,6.550496548883322
433,955.4558060932083,6.550496548883322
434,955.4558060932083,6.550496548883322
435,955.4558060932083,6.550496548883322
436,955.4558060932083,6.550496548883322
437,955.4558060932083,6.550496548883322
438,955.4558060932083,6.550496548883322
439,955.4558060932083,6.550496548883322
440,955.2494276390921,6.570681641628763
441,953.6876840141975,6.723429853878475
442,963.328600516942,5.780488428174008
443,967.0193597179953,5.419509288692568
444,967.0193597179953,5.419509288692568
445,967.0193597179953,5.419509288692568
446,967.0193597179953,5.419509288692568
447,967.0193597179953,5.419509288692568
448,967.0193597179953,5.419509288692568
449,966.8104835362961,5.439938674686213
450,965.5304541722741,5.565133485066634
451,966.601607354597,5.4603680606798575
452,966.601607354597,5.4603680606798575
453,966.601607354597,5.4603680606798575
454,966.601607354597,5.4603680606798575
455,966.601607354597,5.4603680606798575
456,966.601607354597,5.4603680606798575
457,966.601607354597,5.4603680606798575
458,966.601607354597,5.4603680606798575
459,966.601607354597,5.4603680606798575
460,966.601607354597,5.4603680606798575
461,966.601607354597,5.4603680606798575
462,966.601607354597,5.4603680606798575
463,966.601607354597,5.4603680606798575
464,966.601607354597,5.4603680606798575
465,966.601607354597,5.4603680606798575
466,966.601607354597,5.4603680606798575
467,966.601607354597,5.4603680606798575
468,966.3928214074084,5.480788621178754
469,963.7303220878472,5.741197567113466
470,959.4490697648129,6.159930596087772
471,951.9303114348327,6.895311791141238
472,948.7852065278371,7.202922556585407
473,948.7852065278371,7.202922556585407
474,948.7852065278371,7.202922556585407
475,948.7852065278371,7.202922556585407
476,948.7852065278371,7.202922556585407
477,948.7852065278371,7.202922556585407
478,948.7852065278371,7.202922556585407
479,948.7852065278371,7.202922556585407
480,948.7852065278371,7.202922556585407
481,948.5802689232271,7.222966725313183
482,950.6914695292394,7.016478212647953
483,951.073368237588,6.979126150484312
484,953.19343534826,6.771770438674436
485,953.19343534826,6.771770438674436
486,953.19343534826,6.771770438674436
487,953.19343534826,6.771770438674436
488,953.19343534826,6.771770438674436
489,953.19343534826,6.771770438674436
490,952.9875455662248,6.791907736259684
491,952.7816557841895,6.81204503384493
492,952.7816557841895,6.81204503384493
493,952.7816557841895,6.81204503384493
494,952.7816557841895,6.81204503384493
495,952.7816557841895,6.81204503384493
496,952.7816557841895,6.81204503384493
497,952.7816557841895,6.81204503384493
498,952.7816557841895,6.81204503384493
499,952.7816557841895,6.81204503384493
500,952.7816557841895,6.81204503384493
501,952.5758549465402,6.832173632117616
502,955.4527302972919,6.55079738079964
503,958.0523164576098,6.296541732018324
504,958.5780098368094,6.245125659249224
505,958.5780098368094,6.245125659249224
506,958.5780098368094,6.245125659249224
507,958.5780098368094,6.245125659249224
508,958.5780098368094,6.245125659249224
509,958.5780098368094,6.245125659249224
510,958.5780098368094,6.245125659249224
511,958.5780098368094,6.245125659249224
512,958.5780098368094,6.245125659249224
513,958.3709569866846,6.265376712106831
514,960.046210485236,6.10152653023971
515,954.8154611648647,6.613126254212999
516,948.2134072929366,7.258848067984693
517,951.2670339232074,6.960184445340832
518,949.9098665319759,7.092923833182546
519,947.1036402073984,7.367390171584431
520,949.3930260876422,7.143474034016986
521,954.5177467055736,6.642244574718823
522,940.9440087678513,7.969840327621693
523,940.9440087678513,7.969840327621693
524,940.9440087678513,7.969840327621693
525,940.9440087678513,7.969840327621693
526,940.9440087678513,7.969840327621693
527,940.9440087678513,7.969840327621693
528,940.9440087678513,7.969840327621693
529,940.9440087678513,7.969840327621693
530,940.9440087678513,7.969840327621693
531,940.7407648619575,7.989718842110924
532,943.6081882837009,7.709267048069616
533,938.6761162471155,8.19165428133018
534,944.6132779046196,7.6109630497059655
